Trial time;Recording time;X center;Y center;Area;Areachange;Elongation;Velocity;Result 1
5,685;5,685;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,725;5,725;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,765;5,765;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,805;5,805;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,845;5,845;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,885;5,885;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,925;5,925;-0,150746;0,174864;0,00259473;0;0,831397;0;1
5,965;5,965;-0,150746;0,174864;0,00259473;0;0,831397;0;1
6,005;6,005;-0,150746;0,174864;0,00259473;0;0,831397;0;1
6,045;6,045;-0,14209;0,180001;0,00243678;0,000903162;0,670659;0,251426;1
6,085;6,085;-0,14209;0,180001;0,00243678;0;0,670659;0;1
6,125;6,125;-0,14209;0,180001;0,00243678;0;0,670659;0;1
6,165;6,165;-0,14209;0,180001;0,00243678;0;0,670659;0;1
6,206;6,206;-0,132429;0,176208;0,00231596;0,000689184;0,555465;0,259245;1
6,246;6,246;-0,132429;0,176208;0,00231596;0;0,555465;0;1
6,286;6,286;-0,132429;0,176208;0,00231596;0;0,555465;0;1
6,326;6,326;-0,132429;0,176208;0,00231596;0;0,555465;0;1
6,366;6,366;-0,122232;0,172493;0,0020716;0,00036923;0,681289;0,271064;1
6,406;6,406;-0,122232;0,172493;0,0020716;0;0,681289;0;1
6,446;6,446;-0,122232;0,172493;0,0020716;0;0,681289;0;1
6,486;6,486;-0,122232;0,172493;0,0020716;0;0,681289;0;1
6,526;6,526;-0,108716;0,170802;0,00212088;0,000308479;0,730612;0,340248;1
6,566;6,566;-0,108716;0,170802;0,00212088;0;0,730612;0;1
6,606;6,606;-0,0981968;0,172788;0,00229098;0,000609533;0,785462;0,267383;1
6,646;6,646;-0,0981968;0,172788;0,00229098;0;0,785462;0;1
6,686;6,686;-0,0852954;0,176954;0,00238346;0,000899787;0,823158;0,338637;1
6,726;6,726;-0,0852954;0,176954;0,00238346;0;0,823158;0;1
6,766;6,766;-0,0711699;0,182892;0,00240776;0,000947037;0,818915;0,382729;1
6,806;6,806;-0,0711699;0,182892;0,00240776;0;0,818915;0;1
6,846;6,846;-0,0569596;0,190333;0,00255491;0,000928137;0,828389;0,400674;1
